"","burglaries","population","unemployment","wealth"
"295",1,647,0.199170124481328,-0.789306246072433
"296",2,1499,0.189108910891089,0.569764570704616
"297",1,621,0,-0.473465844990443
"298",0,775,0.254424778761062,-0.837160852296977
"299",7,1537,0.122679580306699,0.435771673275893
"300",1,595,0.164588528678304,-0.875444537276612
"301",2,331,0.290657439446367,-1.46884165446096
"302",6,846,0.0709413369713506,-0.272476498847358
"303",2,949,0.0927573062261754,-0.100199916439
"304",2,865,0.240710823909531,-0.684026112378436
"305",4,2243,0.221464019851117,2.14896657611457
"306",7,908,0.240947075208914,-0.377756632541355
"307",6,907,0.2140625,-0.645742427398801
"308",4,1050,0.286694101508916,-0.0236325464797294
"309",2,570,0.194214876033058,-0.80844808856225
"310",0,1464,0.270440251572327,0.206069563398082
"311",2,1337,0.225742574257426,0.129502193438811
"312",0,2009,0.213365539452496,1.27801274282787
"313",3,881,0.138312586445367,-0.463894923745534
"314",1,718,0.063973063973064,-0.693597033623345
"315",0,546,0.127615062761506,-0.712738876113163
"316",0,540,0.142480211081794,-1.13385941088915
"317",2,1143,0.0626423690205011,0.349633382071713
"318",2,336,0.100323624595469,-1.46884165446096
"319",1,1066,0.156743620899149,-0.119341758928817
"320",1,819,0.0419254658385093,-0.636171506153892
"321",3,969,0.10519801980198,-0.827589931052068
"322",3,689,0.106306306306306,-0.41604031752099
"323",0,1260,0.18735632183908,0.521909964480072
"324",0,763,0.167608286252354,-0.406469396276081
"325",2,848,0.111524163568773,-0.377756632541355
"326",0,607,0.0286975717439294,-0.932870064746065
"327",4,1011,0.0416666666666667,-0.425611238765899
"328",2,891,0.0910569105691057,-0.310760183826993
"329",1,555,0.205263157894737,-0.999866513460426
"330",0,458,0.181081081081081,-1.39227428450169
"331",4,1063,0.0833333333333333,-0.109770837683909
"332",3,558,0.0995670995670996,-0.932870064746065
"333",1,410,0.227848101265823,-1.26785230831787
"334",4,957,0.0623100303951368,-0.444753081255716
"335",0,795,0.210619469026549,-0.454324002500625
"336",0,669,0,-1.03815019844006
"337",7,1182,0.104166666666667,0.244353248377717
"338",2,817,0.195817490494297,-0.80844808856225
"339",3,765,0.0918674698795181,-0.195909128888088
"340",2,230,0.126829268292683,-1.81339481927767
"341",3,770,0.0553250345781466,-0.73188071860298
"342",1,1054,0.112535612535613,-0.186338207643179
"343",2,866,0.128482972136223,-0.042774388969547
"344",1,769,0.269811320754717,-0.779735324827524
"345",1,1522,0.0395314787701318,0.684615625643521
"346",0,780,0.192771084337349,-0.33947294756172
"347",0,891,0.0823211875843455,-0.224621892622814
"348",4,980,0.210597826086957,-0.0332034677246382
"349",0,921,0.220899470899471,-0.157625443908453
"350",0,1222,0.168361581920904,0.426200752030984
"351",2,632,0.122522522522523,-0.846731773541886
"352",1,798,0,-0.846731773541886
"353",1,1005,0.0614457831325301,0.368775224561531
"354",2,1013,0.122413793103448,-0.0619162314593646
"355",2,872,0.0210526315789474,-0.770164403582615
"356",1,764,0.0762081784386617,-0.607458742419166
"357",1,937,0.0140127388535032,-0.444753081255716
"358",0,581,0.0182555780933063,-1.37313244201187
"359",0,424,0.247252747252747,-1.23913954458315
"360",0,564,0.184,-1.02857927719515
"361",0,882,0.223154362416107,-0.703167954868254
"362",0,1010,0.223053892215569,-0.301189262582084
"363",0,1111,0.11614730878187,-0.167196365153361
"364",5,1183,0.136363636363636,0.45491351576571
"365",4,720,0.109170305676856,-0.435182160010808
"366",1,642,0.133159268929504,-0.684026112378436
"367",1,1143,0.0331262939958592,-0.406469396276081
"368",0,1648,0.135400907715582,1.49814393146077
"369",1,818,0.0779014308426073,-0.923299143501156
"370",0,330,0,-1.59326363064477
"371",0,853,0.0809061488673139,-0.607458742419166
"372",0,887,0.1875,-0.396898475031172
"373",0,605,0.0620805369127517,-1.02857927719515
"374",0,534,0.0848806366047745,-1.0764338834197
"375",5,897,0.184887459807074,-0.837160852296977
"376",1,712,0.238095238095238,-0.865873616031703
"377",5,2450,0.0401459854014599,3.0582040943809
